frame.number,frame.time_relative,usb.src,usb.dst,usb.endpoint_address,usb.transfer_type,usbhid.data
413,42.925889000,1.2.1,host,0x81,0x01,00343d2c2246656e6465724964223a2022445542535f506c6578693837222c226e6f646554797065223a2022647370556e6974222c226e6f64654964223a2022
414,42.925908000,host,1.2.1,0x81,0x01,
415,42.926987000,1.2.1,host,0x81,0x01,00343d616d70227d2c7b22647370556e6974506172616d6574657273223a207b7d2c2246656e6465724964223a2022445542535f5061737374687275222c226e
416,42.927005000,host,1.2.1,0x81,0x01,
417,42.928144000,1.2.1,host,0x81,0x01,00343d6f646554797065223a2022647370556e6974222c226e6f64654964223a202264656c6179227d2c7b22647370556e6974506172616d6574657273223a20
418,42.928162000,host,1.2.1,0x81,0x01,
419,42.929281000,1.2.1,host,0x81,0x01,00343d7b2262797061737354797065223a2022506f7374222c22746f6e65223a20302e3734343434342c226465636179223a20302e3637373737382c226c6576
420,42.929298000,host,1.2.1,0x81,0x01,
421,42.930338000,1.2.1,host,0x81,0x01,00343d656c223a20302e3136363636372c22627970617373223a2066616c73652c226477656c6c223a20302e352c2264696666757365223a20302e357d2c2246
422,42.930367000,host,1.2.1,0x81,0x01,
423,42.931600000,1.2.1,host,0x81,0x01,00343d656e6465724964223a2022445542535f4c61726765506c617465222c226e6f646554797065223a2022647370556e6974222c226e6f64654964223a2022
424,42.931620000,host,1.2.1,0x81,0x01,
425,42.932635000,1.2.1,host,0x81,0x01,00343d726576657262227d5d7d2c226e6f64654964223a2022707265736574222c2276657273696f6e223a2022312e31222c226e756d4f757470757473223a20
426,42.932655000,host,1.2.1,0x81,0x01,
427,42.933709000,1.2.1,host,0x81,0x01,003513322c226e756d496e70757473223a20327d1004223a2022707265736574222c2276657273696f6e223a2022312e31222c226e756d4f757470757473223a
428,42.933727000,host,1.2.1,0x81,0x01,
429,42.934205000,host,1.2.1,0x01,0x01,35070800ca0602080504030201010010001000010101010101010101010101010101010101010101010106100001010101010101010101061000010101010100
430,42.935985000,1.2.1,host,0x01,0x01,
431,42.938221000,1.2.1,host,0x81,0x01,00333d0802fa01d5130ad0137b22696e666f223a207b22646973706c61794e616d65223a2022445245414d5920202020202020202020222c2270726f64756374
432,42.938245000,host,1.2.1,0x81,0x01,
433,42.939362000,1.2.1,host,0x81,0x01,00343d5f6964223a20226d757374616e672d6c74222c22617574686f72223a2022222c2274696d657374616d70223a20313531303835353030352c2263726561
434,42.939380000,host,1.2.1,0x81,0x01,
435,42.940500000,1.2.1,host,0x81,0x01,00343d7465645f6174223a20302c2262706d223a20302c227072657365745f6964223a202238323730316533652d636166372d313165372d623732312d313731
436,42.940532000,host,1.2.1,0x81,0x01,
437,42.941624000,1.2.1,host,0x81,0x01,00343d653663376433303930222c22736f757263655f6964223a2022222c2269735f666163746f72795f64656661756c74223a20747275657d2c226e6f646554
438,42.941654000,host,1.2.1,0x81,0x01,
439,42.942747000,1.2.1,host,0x81,0x01,00343d797065223a2022707265736574222c22617564696f4772617068223a207b22636f6e6e656374696f6e73223a205b7b22696e707574223a207b22696e64
440,42.942775000,host,1.2.1,0x81,0x01,
441,42.943890000,1.2.1,host,0x81,0x01,00343d6578223a20302c226e6f64654964223a2022707265736574227d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a202273
442,42.943912000,host,1.2.1,0x81,0x01,
443,42.945005000,1.2.1,host,0x81,0x01,00343d746f6d70227d7d2c7b22696e707574223a207b22696e646578223a20312c226e6f64654964223a2022707265736574227d2c226f7574707574223a207b
444,42.945035000,host,1.2.1,0x81,0x01,
445,42.947898000,1.2.1,host,0x81,0x01,00343d22696e646578223a20312c226e6f64654964223a202273746f6d70227d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f6465496422
446,42.947953000,host,1.2.1,0x81,0x01,
447,42.948381000,1.2.1,host,0x81,0x01,00343d3a202273746f6d70227d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a20226d6f64227d7d2c7b22696e707574223a20
448,42.948400000,host,1.2.1,0x81,0x01,
449,42.949578000,1.2.1,host,0x81,0x01,00343d7b22696e646578223a20312c226e6f64654964223a202273746f6d70227d2c226f7574707574223a207b22696e646578223a20312c226e6f6465496422
450,42.949639000,host,1.2.1,0x81,0x01,
451,42.951951000,1.2.1,host,0x81,0x01,00343d3a20226d6f64227d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f64654964223a20226d6f64227d2c226f7574707574223a207b22
452,42.951988000,host,1.2.1,0x81,0x01,
453,42.952907000,1.2.1,host,0x81,0x01,00343d696e646578223a20302c226e6f64654964223a2022616d70227d7d2c7b22696e707574223a207b22696e646578223a20312c226e6f64654964223a2022
454,42.952960000,host,1.2.1,0x81,0x01,
455,42.954015000,1.2.1,host,0x81,0x01,00343d6d6f64227d2c226f7574707574223a207b22696e646578223a20312c226e6f64654964223a2022616d70227d7d2c7b22696e707574223a207b22696e64
456,42.954060000,host,1.2.1,0x81,0x01,
457,42.955132000,1.2.1,host,0x81,0x01,00343d6578223a20302c226e6f64654964223a2022616d70227d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a202264656c61
458,42.955171000,host,1.2.1,0x81,0x01,
459,42.956261000,1.2.1,host,0x81,0x01,00343d79227d7d2c7b22696e707574223a207b22696e646578223a20312c226e6f64654964223a2022616d70227d2c226f7574707574223a207b22696e646578
460,42.956295000,host,1.2.1,0x81,0x01,
461,42.957392000,1.2.1,host,0x81,0x01,00343d223a20312c226e6f64654964223a202264656c6179227d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f64654964223a202264656c
462,42.957422000,host,1.2.1,0x81,0x01,
463,42.958573000,1.2.1,host,0x81,0x01,00343d6179227d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a2022726576657262227d7d2c7b22696e707574223a207b2269
464,42.958601000,host,1.2.1,0x81,0x01,
465,42.959709000,1.2.1,host,0x81,0x01,00343d6e646578223a20312c226e6f64654964223a202264656c6179227d2c226f7574707574223a207b22696e646578223a20312c226e6f64654964223a2022
466,42.959760000,host,1.2.1,0x81,0x01,
467,42.960839000,1.2.1,host,0x81,0x01,00343d726576657262227d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f64654964223a2022726576657262227d2c226f7574707574223a
468,42.960881000,host,1.2.1,0x81,0x01,
469,42.961999000,1.2.1,host,0x81,0x01,00343d207b22696e646578223a20302c226e6f64654964223a2022707265736574227d7d2c7b22696e707574223a207b22696e646578223a20312c226e6f6465
470,42.962050000,host,1.2.1,0x81,0x01,
471,42.963146000,1.2.1,host,0x81,0x01,00343d4964223a2022726576657262227d2c226f7574707574223a207b22696e646578223a20312c226e6f64654964223a2022707265736574227d7d5d2c226e
472,42.963212000,host,1.2.1,0x81,0x01,
473,42.964372000,1.2.1,host,0x81,0x01,00343d6f646573223a205b7b22647370556e6974506172616d6574657273223a207b2262797061737354797065223a2022506f7374222c2274797065223a2022
474,42.964400000,host,1.2.1,0x81,0x01,
475,42.965354000,1.2.1,host,0x81,0x01,00343d68696768222c22627970617373223a2066616c73657d2c2246656e6465724964223a2022445542535f53696d706c65436f6d70726573736f72222c226e
476,42.965392000,host,1.2.1,0x81,0x01,
477,42.966422000,1.2.1,host,0x81,0x01,00343d6f646554797065223a2022647370556e6974222c226e6f64654964223a202273746f6d70227d2c7b22647370556e6974506172616d6574657273223a20
478,42.966450000,host,1.2.1,0x81,0x01,
479,42.968476000,1.2.1,host,0x81,0x01,00343d7b22726f746f72223a20312e30372c2262797061737354797065223a2022506f7374222c22666565646261636b223a20302e36382c226e6f7465446976
480,42.968527000,host,1.2.1,0x81,0x01,
481,42.970886000,1.2.1,host,0x81,0x01,00343d6973696f6e223a20226f6666222c226c6576656c223a20302e39362c2274617054696d6542504d223a203132302c226465707468223a20302e31382c22
482,42.970958000,host,1.2.1,0x81,0x01,
483,42.972060000,1.2.1,host,0x81,0x01,00343d627970617373223a2066616c73652c227068617365223a20302e35327d2c2246656e6465724964223a2022445542535f5669627261746f6e65222c226e
484,42.972087000,host,1.2.1,0x81,0x01,
485,42.973193000,1.2.1,host,0x81,0x01,00343d6f646554797065223a2022647370556e6974222c226e6f64654964223a20226d6f64227d2c7b22647370556e6974506172616d6574657273223a207b22
486,42.973217000,host,1.2.1,0x81,0x01,
487,42.974311000,1.2.1,host,0x81,0x01,00343d627269676874223a20747275652c2263616273696d54797065223a2022363574776e222c2274726562223a20302e3731373634372c22736167223a2022
488,42.974364000,host,1.2.1,0x81,0x01,
489,42.975436000,1.2.1,host,0x81,0x01,00343d6d61746368222c226d6964223a20302e3738303339322c22766f6c756d65223a202d31342e3431333939382c22676174654465746563746f72506f7369
490,42.975478000,host,1.2.1,0x81,0x01,
491,42.976547000,1.2.1,host,0x81,0x01,00343d74696f6e223a20226a61636b222c2262696173223a20302e352c226761696e223a20302e3333373235352c2267617465507265736574223a20226f6666
492,42.976580000,host,1.2.1,0x81,0x01,
493,42.977766000,1.2.1,host,0x81,0x01,00343d222c2262617373223a20302e3636323734357d2c2246656e6465724964223a2022445542535f5477696e3635222c226e6f646554797065223a20226473
494,42.977787000,host,1.2.1,0x81,0x01,
495,42.978797000,1.2.1,host,0x81,0x01,00343d70556e6974222c226e6f64654964223a2022616d70227d2c7b22647370556e6974506172616d6574657273223a207b226e6f74654469766973696f6e22
496,42.978824000,host,1.2.1,0x81,0x01,
497,42.979958000,1.2.1,host,0x81,0x01,00343d3a20226f6666222c2262797061737354797065223a2022506f7374222c22776f774c6576656c223a20302e352c22666565646261636b223a20302e3231
498,42.979981000,host,1.2.1,0x81,0x01,
499,42.981138000,1.2.1,host,0x81,0x01,00343d313131312c2274617054696d6542504d223a203132302c22646c7954696d65223a20302e3235333838382c22627970617373223a2066616c73652c2277
500,42.981173000,host,1.2.1,0x81,0x01,
501,42.985175000,1.2.1,host,0x81,0x01,00343d65744c766c223a20302e343637322c2273746572656f537072656164223a20307d2c2246656e6465724964223a2022445542535f5461706544656c6179
502,42.985231000,host,1.2.1,0x81,0x01,
503,42.987668000,1.2.1,host,0x81,0x01,00343d4c697465222c226e6f646554797065223a2022647370556e6974222c226e6f64654964223a202264656c6179227d2c7b22647370556e6974506172616d
504,42.987702000,host,1.2.1,0x81,0x01,
505,42.990015000,1.2.1,host,0x81,0x01,00343d6574657273223a207b2262797061737354797065223a2022506f7374222c22746f6e65223a20302e3833333333332c226465636179223a20302e352c22
506,42.990044000,host,1.2.1,0x81,0x01,
507,42.992457000,1.2.1,host,0x81,0x01,00343d6c6576656c223a20302e3433333333332c22627970617373223a2066616c73652c226477656c6c223a20302e352c2264696666757365223a20302e357d
508,42.992482000,host,1.2.1,0x81,0x01,
